Informazioni cronologiche	Età	Genere 	Titolo di studio	Nazionalità	Situazione lavorativa	Tipologia di utente	Quartiere/zona di residenza	Zona lavorativa	Ritieni che gli spazi verdi siano sufficienti?	Gli spazi verdi sono curati in maniera adeguata?	"Sono presenti spazi dove socializzare (incontrare persone, far giocare i bambini, etc.)?"	"Sei soddisfatto dell'arredamento urbano (panchine, cestini, ecc.)?"	Ritieni che nel tuo quartiere ci sia una buona qualità edilizia?	Sei favorevole alla costruzione di nuove abitazioni?	Dalla tua abitazione è presente uno o più dei seguenti collegamenti? 	Sei soddisfatto delle condizioni del manto stradale ?	Sei soddisfatto del servizio di illuminazione?	Sei soddisfatto del servizio di raccolta rifiuti?	"Sei soddisfatto dei momenti di aggregazione (feste, eventi, ecc.)?"	"Sei soddisfatto delle attività culturali (serate di approfondimento, laboratori, mostre, ecc.)?"	Sei soddisfatto dell'offerta scolastica ?	"Sei soddisfatto del sistema bibliotecario (posti, orari, ecc.)?"	"Sei soddisfatto degli spazi e delle attività rivolte agli anziani (centro anziani, corsi di digitalizzazione, eventi, ecc.)?"	Sei soddisfatto dell'offerta di impianti sportivi?	Ritieni che l'offerta di tali servizi sia adeguata alla domanda legata al turismo? 	Quale mezzo usi abitualmente per muoverti in città?	Non usi la bicicletta per:	Ritieni che Ladispoli sia una città accessibile alle persone con disabilità?	La città di Ladispoli è... (posizionati verso l'aggettivo che ritieni più adeguato)	La città di Ladispoli è... (posizionati verso l'aggettivo che ritieni più adeguato)	La città di Ladispoli è... (posizionati verso l'aggettivo che ritieni più adeguato)	Indica il grado di soddisfazione per questo tipo di servizi al cittadino portati avanti dall'amministrazione comunale: [cultura]	Indica il grado di soddisfazione per questo tipo di servizi al cittadino portati avanti dall'amministrazione comunale: [turismo]	Indica il grado di soddisfazione per questo tipo di servizi al cittadino portati avanti dall'amministrazione comunale: [sport]	Indica il grado di soddisfazione per questo tipo di servizi al cittadino portati avanti dall'amministrazione comunale: [servizi sanitari]	Indica il grado di soddisfazione per questo tipo di servizi al cittadino portati avanti dall'amministrazione comunale: [mobilità]	Indica il grado di soddisfazione per questo tipo di servizi al cittadino portati avanti dall'amministrazione comunale: [servizi alla persona (prestazioni sociali)]	"Indica il grado di soddisfazione per questo tipo di servizi al cittadino portati avanti dall'amministrazione comunale: [servizi comunali (anagrafe, tributi, ecc.)]"	Quale dovrebbe essere la priorità della nuova amministrazione comunale?	Pensi che l'amministrazione comunale ascolti le esigenze dei cittadini? 	"L'anno prossimo, il giorno delle elezioni comunali, ti recherai a votare?"	Quanto sei soddisfatto dell'attuale amministrazione di centro destra guidata da Alessandro Grando?
26/06/2021 7.14.35	28	femminile	+laurea	italiana	occupato	residente	centro	Roma	poco	poco	abbastanza	poco	abbastanza	abbastanza		poco	molto	molto	poco	poco	molto	abbastanza	abbastanza	abbastanza	non so	automobile	non voglio	non so	2	3	2	poco	poco	abbastanza	poco	poco	poco	abbastanza	"cultura e sport, verde pubblico, turismo, sicurezza cittadini"	abbastanza	si	abbastanza
26/06/2021 8.34.10	52	maschile	diploma di scuola superiore	italiana	occupato	residente	fascia aurelia	Ladispoli	poco	abbastanza	poco	per nulla	poco	poco	mezzi di trasporto pubblico	per nulla	per nulla	abbastanza	per nulla	per nulla	abbastanza	poco	per nulla	per nulla	per nulla	automobile	mancanza di piste ciclabili	per nulla	2	4	4	per nulla	per nulla	per nulla	poco	per nulla	poco	abbastanza	servizi sociali	per nulla	si	per nulla
26/06/2021 9.49.01	31	maschile	diploma di scuola superiore	italiana	disoccupato	residente	palo laziale		abbastanza	poco	abbastanza	poco	abbastanza	per nulla	"pista ciclabile, mezzi di trasporto pubblico, pedonale"	poco	abbastanza	abbastanza	per nulla	per nulla	poco	poco	poco	poco	poco	piedi	non voglio	poco	2	3	3	per nulla	per nulla	poco	poco	poco	per nulla	per nulla	"verde pubblico, turismo"	per nulla	si	per nulla
26/06/2021 9.59.09	38	maschile	diploma di scuola superiore	italiana	occupato	residente	cerreto	Ladispoli	abbastanza	poco	poco	abbastanza	poco	per nulla	mezzi di trasporto pubblico	poco	per nulla	abbastanza	non so	abbastanza	abbastanza	non so	non so	molto	per nulla	automobile	Figli	abbastanza	5	2	2	abbastanza	per nulla	abbastanza	per nulla	molto	poco	poco	turismo	poco	si	abbastanza
26/06/2021 9.59.39	30	femminile	diploma di scuola superiore	italiana	occupato	residente	centro	Roma	per nulla	poco	poco	poco	poco	poco	"mezzi di trasporto pubblico, pedonale"	per nulla	poco	per nulla	poco	poco	abbastanza	poco	poco	poco	poco	piedi	mancanza di piste ciclabili	poco	4	3	4	per nulla	per nulla	per nulla	poco	poco	per nulla	poco	"opere pubbliche, verde pubblico, mobilità sostenibile, turismo, arredo urbano, sicurezza cittadini"	poco	si	per nulla
26/06/2021 10.00.21	55	maschile	diploma di scuola superiore	italiana	occupato	residente	centro	Roma	poco	poco	poco	per nulla	per nulla	poco	mezzi di trasporto pubblico	poco	abbastanza	abbastanza	poco	per nulla	abbastanza	per nulla	poco	per nulla	poco	piedi	Preferisco muovermi a piedi il più possibile a	poco	3	4	3	poco	poco	poco	per nulla	poco	per nulla	per nulla	"cultura e sport, digitalizzazione servizi comunali, verde pubblico, servizi sociali, arredo urbano"	poco	si	per nulla
26/06/2021 10.01.41	33	maschile	diploma di scuola superiore	italiana	occupato	frequentatore	centro	Roma	poco	per nulla	poco	poco	per nulla	poco	mezzi di trasporto pubblico	poco	abbastanza	abbastanza	per nulla	per nulla	abbastanza	abbastanza	non so	per nulla	poco	bicicletta	Uso la bici 	per nulla	4	4	3	per nulla	poco	poco	poco	per nulla	per nulla	abbastanza	"cultura e sport, digitalizzazione servizi comunali, servizi sociali"	per nulla	si	per nulla
26/06/2021 10.13.05	33	femminile	+laurea	italiana	occupato	frequentatore		Altri comuni limitrofi	poco	poco	poco	poco	poco	poco	mezzi di trasporto pubblico	poco	poco	poco	poco	poco	poco	poco	poco	poco	poco	automobile	non voglio	poco	5	5	5	per nulla	per nulla	per nulla	per nulla	per nulla	per nulla	per nulla	"cultura e sport, digitalizzazione servizi comunali, turismo"	per nulla	no	per nulla
26/06/2021 10.13.29	72	maschile	+laurea	italiana	pensionato	residente	domitilla		abbastanza	abbastanza	abbastanza	poco	poco	per nulla	mezzi di trasporto pubblico	per nulla	poco	abbastanza	per nulla	per nulla	abbastanza	poco	non so	per nulla	poco	automobile	mancanza di piste ciclabili	poco	3	3	3	per nulla	per nulla	poco	abbastanza	abbastanza	poco	poco	"cultura e sport, digitalizzazione servizi comunali, mobilità sostenibile, servizi sociali, turismo, arredo urbano, sicurezza cittadini"	per nulla	si	per nulla
26/06/2021 10.16.04	40	maschile	+laurea	italiana	occupato	residente	centro	Ladispoli	poco	poco	poco	per nulla	poco	per nulla	pedonale	poco	poco	abbastanza	per nulla	per nulla	abbastanza	abbastanza	non so	poco	poco	bicicletta	mancanza di piste ciclabili	poco	3	4	2	per nulla	per nulla	poco	poco	poco	poco	per nulla	"cultura e sport, digitalizzazione servizi comunali, mobilità sostenibile, servizi sociali, turismo, arredo urbano"	poco	si	per nulla
26/06/2021 10.16.48	44	femminile	diploma di scuola superiore	italiana	occupato	residente	ex campo sportivo	Ladispoli	poco	poco	poco	per nulla	non so	poco	mezzi di trasporto pubblico	per nulla	abbastanza	molto	per nulla	per nulla	abbastanza	non so	non so	molto	poco	automobile	mancanza di piste ciclabili	poco	2	2	3	poco	per nulla	abbastanza	abbastanza	poco	abbastanza	abbastanza	"cultura e sport, digitalizzazione servizi comunali, verde pubblico, mobilità sostenibile, turismo, arredo urbano, sicurezza cittadini"	per nulla	si	per nulla
26/06/2021 10.17.42	70	femminile	+laurea	italiana	pensionato	residente	cerreto	Ladispoli	abbastanza	per nulla	abbastanza	per nulla	abbastanza	per nulla	pedonale	poco	abbastanza	molto	poco	per nulla	abbastanza	poco	poco	poco	poco	automobile	mancanza di piste ciclabili	poco	3	3	3	poco	poco	poco	poco	poco	per nulla	per nulla	servizi sociali	poco	si	poco
26/06/2021 10.17.59	43	femminile	diploma di scuola superiore	italiana	occupato	frequentatore		Roma	poco	abbastanza	molto	abbastanza	abbastanza	abbastanza	mezzi di trasporto pubblico	abbastanza	abbastanza	abbastanza	abbastanza	poco	abbastanza	non so	non so	non so	abbastanza	automobile	non voglio	poco	3	4	4	per nulla	abbastanza	poco	per nulla	abbastanza	abbastanza	poco	"digitalizzazione servizi comunali, mobilità sostenibile"	poco	si	poco
26/06/2021 10.22.08	40	maschile	diploma di scuola superiore	italiana	occupato	residente	cerreto	Roma	poco	per nulla	poco	per nulla	poco	per nulla	"mezzi di trasporto pubblico, pedonale"	per nulla	poco	abbastanza	poco	per nulla	abbastanza	non so	poco	per nulla	per nulla	automobile	mancanza di piste ciclabili	per nulla	4	3	4	per nulla	per nulla	per nulla	poco	poco	per nulla	per nulla	"opere pubbliche, verde pubblico, mobilità sostenibile, turismo, arredo urbano"	per nulla	si	per nulla
26/06/2021 10.22.49	37	maschile	+laurea	italiana	occupato	residente	centro	Ladispoli	poco	poco	abbastanza	abbastanza	poco	poco	"pista ciclabile, mezzi di trasporto pubblico, pedonale"	per nulla	molto	abbastanza	poco	per nulla	non so	abbastanza	non so	poco	poco	piedi	La uso	abbastanza	2	4	3	per nulla	poco	poco	abbastanza	poco	poco	poco	"cultura e sport, digitalizzazione servizi comunali, verde pubblico, turismo, arredo urbano"	poco	si	poco
26/06/2021 10.22.58	38	maschile	+laurea	italiana	occupato	residente	cerreto	Altri comuni limitrofi	per nulla	poco	poco	per nulla	per nulla	molto	mezzi di trasporto pubblico	per nulla	poco	molto	poco	poco	abbastanza	per nulla	non so	poco	poco	automobile	mancanza di piste ciclabili	poco	3	4	2	poco	poco	poco	abbastanza	poco	per nulla	per nulla	"opere pubbliche, verde pubblico, arredo urbano"	poco	si	per nulla
26/06/2021 10.26.12	32	maschile	+laurea	italiana	occupato	residente	centro	Roma	poco	poco	non so	per nulla	per nulla	poco	pedonale	abbastanza	abbastanza	abbastanza	per nulla	per nulla	non so	non so	non so	poco	poco	automobile	mancanza di piste ciclabili	non so	2	4	2	per nulla	per nulla	poco	abbastanza	poco	poco	poco	"digitalizzazione servizi comunali, arredo urbano"	per nulla	si	per nulla
26/06/2021 10.32.19	46	femminile	diploma di scuola superiore	italiana	occupato	residente	lungomare 	Ladispoli	poco	abbastanza	abbastanza	per nulla	per nulla	per nulla		per nulla	poco	abbastanza	poco	per nulla	molto	non so	non so	non so	non so	automobile	mancanza di piste ciclabili	per nulla	3	5	3	per nulla	poco	poco	per nulla	per nulla	per nulla	poco	"cultura e sport, digitalizzazione servizi comunali, verde pubblico, mobilità sostenibile, servizi sociali, arredo urbano"	per nulla	si	per nulla
26/06/2021 10.35.30	36	femminile	diploma di scuola superiore	italiana	occupato	frequentatore		Altri comuni limitrofi	poco	abbastanza	poco	poco	per nulla	per nulla		abbastanza	poco	non so	abbastanza	poco	abbastanza	abbastanza	non so	poco	non so	trasporto pubblico	mancanza di piste ciclabili	per nulla	4	3	1	per nulla	poco	poco	poco	per nulla	per nulla	poco	"cultura e sport, digitalizzazione servizi comunali, verde pubblico, mobilità sostenibile, servizi sociali, arredo urbano, sicurezza cittadini"	per nulla	si	per nulla
26/06/2021 10.36.01	74	femminile	diploma di scuola superiore	italiana	pensionato	residente	centro		abbastanza	poco	poco	abbastanza	abbastanza	poco	"mezzi di trasporto pubblico, pedonale"	per nulla	abbastanza	abbastanza	per nulla	per nulla	non so	poco	per nulla	poco	per nulla	bicicletta		abbastanza	3	4	2	poco	abbastanza	poco	abbastanza	abbastanza	abbastanza	abbastanza	"cultura e sport, opere pubbliche, digitalizzazione servizi comunali, verde pubblico, arredo urbano"	poco	si	per nulla
26/06/2021 10.39.21	42	femminile	+laurea	italiana	occupato	residente	centro	Ladispoli	poco	per nulla	poco	per nulla	per nulla	poco	mezzi di trasporto pubblico	per nulla	poco	poco	per nulla	per nulla	abbastanza	per nulla	poco	per nulla	per nulla	bicicletta	La uso a mio rischio e pericolo	per nulla	5	5	1	per nulla	per nulla	per nulla	per nulla	per nulla	per nulla	per nulla	"cultura e sport, opere pubbliche, digitalizzazione servizi comunali, verde pubblico, turismo, arredo urbano, sicurezza cittadini"	per nulla	si	per nulla
26/06/2021 10.46.29	26	maschile	+laurea	italiana	occupato	frequentatore	centro		poco	poco	poco	poco	poco	poco	pista ciclabile	abbastanza	abbastanza	molto	abbastanza	abbastanza	molto	abbastanza	abbastanza	per nulla	poco	automobile		poco	2	2	2	poco	abbastanza	poco		poco	poco	per nulla	"cultura e sport, digitalizzazione servizi comunali, verde pubblico, mobilità sostenibile"	poco	forse	poco
26/06/2021 10.50.33	65	femminile	diploma di scuola superiore	italiana	pensionato	residente	centro		poco	per nulla	poco	poco	per nulla	per nulla	"pista ciclabile, pedonale"	per nulla	poco	per nulla	poco	per nulla	abbastanza	poco	poco	poco	poco	bicicletta	"Mi muovo in bicicletta, ma con difficoltà per mancanza di adeguate piste ciclabili"	poco	2	2	2	per nulla	poco	poco	poco	poco	poco	poco	"cultura e sport, opere pubbliche, digitalizzazione servizi comunali, verde pubblico, mobilità sostenibile, servizi sociali, turismo, arredo urbano, sicurezza cittadini"	poco	si	per nulla
26/06/2021 10.56.26	70	maschile	diploma di scuola superiore	italiana	pensionato	residente	domitilla	Ladispoli	poco	per nulla	poco	per nulla	per nulla	per nulla	mezzi di trasporto pubblico	per nulla	poco	abbastanza	per nulla	per nulla	poco	per nulla	per nulla	poco	per nulla	piedi	non voglio	poco	3	2	3	poco	poco	poco	poco	poco	poco	poco	"cultura e sport, opere pubbliche, digitalizzazione servizi comunali, verde pubblico, mobilità sostenibile, servizi sociali, turismo, arredo urbano, sicurezza cittadini"	per nulla	si	per nulla
26/06/2021 11.09.52	37	femminile	+laurea	italiana	occupato	residente	cerreto	Ladispoli	poco	per nulla	per nulla	poco	per nulla	poco	pedonale	poco	abbastanza	molto	poco	per nulla	abbastanza	abbastanza	non so	poco	poco	automobile	mancanza di piste ciclabili	per nulla	2	3	2	per nulla	poco	poco	poco	per nulla	per nulla	per nulla	"digitalizzazione servizi comunali, verde pubblico, mobilità sostenibile, servizi sociali, arredo urbano"	per nulla	si	per nulla
26/06/2021 11.19.18	38	femminile	diploma di scuola superiore	italiana	in cerca di impiego	residente	cerreto	Ladispoli	per nulla	per nulla	poco	abbastanza	poco	per nulla	"mezzi di trasporto pubblico, pedonale"	poco	abbastanza	abbastanza	poco	per nulla	abbastanza	non so	non so	abbastanza	poco	automobile	mancanza di piste ciclabili	per nulla	4	3	3	per nulla	poco	poco	poco	per nulla	poco	per nulla	"cultura e sport, digitalizzazione servizi comunali, verde pubblico, arredo urbano"	per nulla	si	per nulla
26/06/2021 11.28.59	62	femminile	+laurea	italiana	occupato	residente	centro		poco	poco	poco	per nulla	poco	per nulla	mezzi di trasporto pubblico	per nulla	abbastanza	abbastanza	per nulla	per nulla	abbastanza	poco	non so	poco	per nulla	piedi	non voglio	per nulla	4	4	3	per nulla	poco	poco		per nulla	per nulla	per nulla	"verde pubblico, mobilità sostenibile, servizi sociali, turismo, arredo urbano, Quasi tutto, personalmente nessun progetto per la disabilità adulta, nessun centro per disabili gravi,pochi servizi, nessuna spiaggia dedicata"	per nulla	si	per nulla
26/06/2021 11.33.49	42	maschile	diploma di scuola superiore	italiana	occupato	residente	domitilla	Roma	abbastanza	poco	abbastanza	per nulla	per nulla	per nulla	"pista ciclabile, mezzi di trasporto pubblico"	per nulla	abbastanza	abbastanza	poco	poco	molto	poco	poco	molto	per nulla	automobile	mancanza di piste ciclabili	per nulla	2	4	2	per nulla	per nulla	abbastanza	per nulla	poco	poco	per nulla	"cultura e sport, digitalizzazione servizi comunali, turismo, arredo urbano"	poco	si	poco
26/06/2021 11.36.35	70	femminile	licenza media	italiana	casalingo	frequentatore	centro	Ladispoli	abbastanza	poco	abbastanza	poco	per nulla	per nulla	pedonale	per nulla	abbastanza	abbastanza	abbastanza	poco	abbastanza	abbastanza	non so	abbastanza	abbastanza	automobile		per nulla	2	2	2	abbastanza	poco		poco	poco	per nulla	poco	servizi sociali	poco	si	per nulla
26/06/2021 11.40.57	72	maschile	licenza media	italiana	pensionato	frequentatore	centro		poco	abbastanza	abbastanza	abbastanza	per nulla	per nulla	mezzi di trasporto pubblico	poco	abbastanza	abbastanza	abbastanza	poco	poco	abbastanza	abbastanza	poco	poco	automobile		per nulla	4	2	3	poco	poco	poco	poco	per nulla	poco	poco	"servizi sociali, arredo urbano, sicurezza cittadini"	per nulla	si	per nulla
26/06/2021 11.41.14	38	femminile	+laurea	italiana	occupato	residente	centro	Ladispoli	per nulla	per nulla	per nulla	poco	per nulla	per nulla	mezzi di trasporto pubblico	per nulla	per nulla	poco	per nulla	per nulla	abbastanza	per nulla	per nulla	poco	poco	automobile	mancanza di piste ciclabili	poco	3	3	3	per nulla	per nulla	per nulla	poco	poco	per nulla	per nulla	"cultura e sport, mobilità sostenibile, servizi sociali, arredo urbano"	poco	si	per nulla
26/06/2021 12.07.28	62	maschile	diploma di scuola superiore	italiana	pensionato	residente	centro		poco	per nulla	poco	poco	poco	per nulla	mezzi di trasporto pubblico	poco	poco	abbastanza	poco	poco	abbastanza	abbastanza	poco	per nulla	poco	automobile	mancanza di piste ciclabili	per nulla	4	4	2	poco	poco	per nulla	poco	poco	poco	poco	"cultura e sport, opere pubbliche, digitalizzazione servizi comunali, mobilità sostenibile, turismo, sicurezza cittadini"	poco	si	per nulla
26/06/2021 12.11.34	32	femminile	+laurea	italiana	occupato	residente	domitilla	Roma	abbastanza	poco	molto	poco	molto	poco	mezzi di trasporto pubblico	poco	poco	abbastanza	poco	per nulla	molto	abbastanza	non so	abbastanza	poco	piedi	Mancanza di deposito	per nulla	4	3	3	per nulla	poco	abbastanza	poco	abbastanza	poco	per nulla	"cultura e sport, mobilità sostenibile, servizi sociali, sicurezza cittadini"	poco	si	per nulla
26/06/2021 12.13.11	26	maschile	+laurea	italiana	studente	residente	cerreto	Roma	per nulla	per nulla	poco	abbastanza	poco	per nulla	pedonale	abbastanza	abbastanza	molto	abbastanza	molto	abbastanza	abbastanza	non so	abbastanza	non so	bicicletta		poco	2	5	2	poco	poco	poco	per nulla	poco	poco	poco	"verde pubblico, mobilità sostenibile"	per nulla	si	per nulla
26/06/2021 12.20.16	36	maschile	diploma di scuola superiore	italiana	occupato	residente	domitilla	Altro	abbastanza	per nulla	poco	per nulla	abbastanza	per nulla	mezzi di trasporto pubblico	poco	poco	abbastanza	abbastanza	abbastanza	abbastanza	poco	abbastanza	abbastanza	per nulla	automobile	mancanza di bicicletta	poco	3	2	3	poco	poco	poco	abbastanza	poco	abbastanza	poco	"cultura e sport, opere pubbliche, digitalizzazione servizi comunali, verde pubblico, mobilità sostenibile, servizi sociali, turismo, arredo urbano, sicurezza cittadini"	poco	si	per nulla
26/06/2021 12.23.06	37	femminile	+laurea	italiana	occupato	residente	centro	Ladispoli	per nulla	per nulla	per nulla	per nulla	per nulla	per nulla		per nulla	poco	abbastanza	poco	per nulla	abbastanza	poco	poco	poco	per nulla	bicicletta		poco	3	3	2	per nulla	poco	poco	per nulla	abbastanza	poco	poco	"digitalizzazione servizi comunali, verde pubblico, mobilità sostenibile, servizi sociali, arredo urbano"	per nulla	si	per nulla
26/06/2021 12.26.51	60	femminile	diploma di scuola superiore	italiana	occupato	residente	cerreto	Ladispoli	abbastanza	poco	poco	non so	per nulla	per nulla	mezzi di trasporto pubblico	per nulla	abbastanza	molto	per nulla	per nulla	poco	poco	non so	poco	per nulla	automobile	Ho un figlio disabile 	abbastanza	3	3	3	per nulla	per nulla	per nulla	poco	poco	abbastanza	abbastanza	"cultura e sport, opere pubbliche, servizi sociali, arredo urbano, sicurezza cittadini"	poco	si	per nulla
26/06/2021 12.31.26	67	femminile	diploma di scuola superiore	italiana	pensionato	residente	domitilla		per nulla	per nulla	poco	abbastanza	per nulla	per nulla	"pista ciclabile, mezzi di trasporto pubblico"	per nulla	abbastanza	abbastanza	per nulla	per nulla	non so	poco	poco	poco	per nulla	piedi	non voglio	per nulla	3	3	4	per nulla	poco	poco	poco	abbastanza	per nulla	per nulla	"cultura e sport, digitalizzazione servizi comunali, verde pubblico, turismo, arredo urbano"	per nulla	si	per nulla
